2021-09-19 16:18:10, 101, 1816.2003040633383, 1, -0.0011233516409993173, 56613.289640625
2021-09-19 16:18:13, 102, 1818.1351260202143, 3, -0.020555516183376317, 881595.91084375
2021-09-19 16:18:19, 105, 1825.9629847897338, 1, -0.0018422676026821137, 9373.443197265626
2021-09-19 16:18:25, 108, 1848.504206413713, 1, -0.0034479247108101844, 13807.705297851564
2021-09-19 16:18:28, 109, 1852.5314189246155, 1, -0.002795344203710556, 19546.660234375
2021-09-19 16:18:30, 110, 1877.1635734811362, 1, -0.00523762434720993, 23638.237583984373
2021-09-19 16:18:36, 113, 1965.3590905578646, 1, -0.0037764906883239746, 101052.97178125
2021-09-19 16:18:41, 115, 1978.213711717844, 1, -0.0033759861439466477, 31219.1332734375
2021-09-19 16:18:51, 120, 1983.5997221136236, 7, -0.0015963628366589548, 25869.245521484376
2021-09-19 16:19:17, 132, 2007.2915003573462, 1, -0.0034381237849593167, 101317.525796875
2021-09-19 16:19:19, 133, 2039.7489191905352, 1, -0.0038282363926991823, 13601.65023828125
2021-09-19 16:19:22, 134, 2041.2522190853406, 1, 0.0013124541044235232, 114267.30692968749
2021-09-19 16:20:56, 173, 2078.7211820370594, 1, 0.006224810525774956, 108554.752484375
2021-09-19 16:21:00, 175, 2127.730057396936, 1, -0.01379195500910282, 38211.07934179688
2021-09-19 16:21:03, 176, 2131.57128368586, 1, 0.000564172089099885, 19645.201837890625
2021-09-19 16:21:05, 177, 2134.702303422243, 1, -0.024737213127315045, 13045.962653320312
